Frequency,Density
949,158.0851349
950,162.1619354
951,155.9900604
952,149.8181824
953,153.1508453
954,157.1743042
955,156.2141388
956,153.967154
957,156.531604
958,161.590329
959,163.3127991
960,162.0004974
961,159.8099976
962,156.2459229
963,153.7934113
964,154.5441895
965,154.6892517
966,150.6514191
967,146.6135895
968,143.6970795
969,140.7843597
970,144.7252625
971,149.7080383
972,150.7909607
973,150.5087494
974,155.9540741
975,164.9902191
976,167.8929962
977,164.4082428
978,160.7846496
979,156.9208801
980,155.1735687
981,159.9825867
982,163.399118
983,156.8889374
984,150.390448
985,147.4638458
986,144.5372406
987,142.8627625
988,141.351355
989,144.8449341
990,149.8544342
991,149.8130127
992,147.0703369
993,148.2892273
994,152.9261597
995,154.7982636
996,152.9045135
997,152.0127106
998,153.3391266
999,154.3051086
1000,153.8311065
1001,153.4772522
1002,154.3309631
1003,155.184671
1004,150.6327789
1005,145.9820435
1006,150.6342773
1007,156.6173462
1008,154.9312347
1009,150.940155
1010,148.5263672
1011,146.909967
1012,145.5597839
1013,144.4181213
1014,144.1492371
1015,144.9108032
1016,145.4340668
1017,145.5293152
1018,146.2391876
1019,148.717218
1020,150.9977387
1021,152.2374848
1022,153.4059448
1023,153.5013641
1024,153.5967865
1025,154.153595
1026,154.7264648
1027,153.2178223
1028,151.4026489
1029,148.3220459
1030,144.8807251
1031,147.4086121
1032,152.6693146
1033,153.148645
1034,150.3731689
1035,148.3710053
1036,147.1260925
1037,145.6013275
1038,143.6849274
1039,143.9480163
1040,148.6459747
1041,150.9619354
1042,145.8774384
1043,142.2246918
1044,146.1603241
1045,149.727774
1046,148.7672943
1047,147.8068146
1048,146.8457672
1049,145.8847168
1050,150.6227051
1051,155.9116272
1052,153.3575226
1053,149.2200867
1054,146.7492065
1055,144.8236725
1056,143.0276276
1057,141.2936218
1058,142.3350159
1059,145.2267487
1060,144.4728577
1061,140.4220215
1062,139.3328034
1063,141.8419525
1064,143.0339722
1065,142.0683411
1066,141.9949371
1067,143.9273499
1068,145.8600372
1069,147.7936035
1070,148.5488617
1071,143.5186066
1072,139.2067444
1073,141.2394073
1074,143.1828339
1075,142.6985779
1076,142.2143219
1077,140.7893708
1078,139.3357483
1079,143.9471771
1080,149.1833374
1081,145.0865173
1082,139.2651062
1083,143.318866
1084,150.114563
1085,149.1222839
1086,145.1395782
1087,142.574411
1088,140.7276703
1089,139.4696014
1090,138.5943054
1091,140.1785644
1092,143.7791229
1093,143.8673798
1094,140.3620483
1095,138.8289459
1096,139.8032288
1097,140.2489075
1098,139.85896
1099,140.6484986
1100,143.7699127
1101,144.940918
1102,141.2320282
1103,138.8617767
1104,140.8149841
1105,142.8420899
1106,145.1873322
1107,146.7701691
1108,143.7390991
1109,140.8397888
1110,139.1766022
1111,137.6611572
1112,138.8358734
1113,140.0088287
1114,140.9883362
1115,141.9678497
1116,148.7302551
1117,155.688916
1118,147.3860932
1119,137.8735351
1120,138.8021973
1121,141.0590942
1122,141.149939
