Frequency,Density
400.472229,39199
402.111344,43037
403.749718,42813
405.387351,39105
407.024244,29709
408.660397,37601
410.295811,39952
411.930485,40992
413.56442,39796
415.197617,47484
416.830076,25682
418.461796,40614
420.09278,39992
421.723026,36492
423.352536,29454
424.981309,31549
426.609346,37429
428.236648,35708
429.863214,41244
431.489046,43721
433.114143,29596
434.738505,39816
436.362134,32592
437.98503,31274
439.607192,35634
441.228621,32670
442.849318,38416
444.469283,30764
446.088516,37117
447.707018,32409
449.324789,27933
450.941829,35228
452.558139,31726
454.173719,38254
455.78857,6220
457.402691,36310
459.016083,38000
460.628747,37809
462.240682,39301
463.85189,38894
465.46237,36005
467.072124,39208
468.68115,31372
470.28945,39548
471.897024,33485
473.503872,33682
475.109995,39758
476.715393,34930
478.320066,40214
479.924015,34306
481.52724,36223
483.129741,35245
484.731519,32713
486.332575,38409
487.932907,26823
489.532517,37171
491.131406,30620
492.729573,30536
494.327019,36562
495.923744,36697
497.519748,28347
499.115033,35186
500.709597,39080
502.303442,37913
503.896568,36274
505.488976,34781
507.080665,38189
508.671635,37346
510.261889,28798
511.851424,36271
513.440243,32484
515.028345,37956
516.615731,38837
518.202401,36695
519.788355,34815
521.373593,41666
522.958117,35562
524.541926,28902
526.125021,36025
527.707402,29747
529.28907,36625
530.870024,24889
532.450265,30127
534.029794,35036
535.60861,34305
537.186715,41670
538.764108,32024
540.340789,29429
541.91676,38596
543.492021,39228
545.066571,33059
546.640411,34850
548.213542,31642
549.785964,30682
551.357676,39730
552.928681,34891
554.498977,44307
556.068565,31895
557.637446,40769
559.20562,43557
560.773087,39759
562.339847,35701
563.905901,33115
565.47125,31620
567.035893,30792
568.599831,31873
570.163064,36876
571.725593,35937
573.287417,37276
574.848538,41252
576.408955,35238
577.968669,33148
579.52768,35918
581.085989,31098
582.643596,39162
584.200501,36769
585.756704,31916
587.312207,41777
588.867008,38573
590.42111,38585
591.974511,34006
593.527212,34950
595.079214,30260
596.630516,38528
598.18112,39394
599.731025,24095
601.280232,35785
602.828742,38626
604.376554,36376
605.923668,38413
607.470086,32449
609.015808,41160
610.560833,36027
612.105162,38436
613.648796,35326
615.191735,34404
616.733979,32738
618.275528,41769
619.816383,32106
621.356544,30927
622.896012,36788
624.434787,38297
625.972868,32747
627.510257,33299
629.046954,38429
630.582959,32618
632.118272,32864
633.652894,40455
635.186825,36681
636.720066,37284
638.252616,32891
639.784476,39792
641.315647,30799
642.846128,29256
644.37592,32458
645.905024,32717
647.433439,27646
648.961166,39054
650.488206,39411
652.014558,30181
653.540223,32094
655.065201,35305
656.589493,36995
658.113099,34851
659.636019,35244
661.158253,34363
662.679803,37793
664.200668,35413
665.720848,37486
667.240344,37163
668.759156,34643
670.277284,33896
671.79473,36828
673.311492,35125
674.827572,36214
676.34297,36086
677.857686,33222
679.37172,35816
680.885072,27846
682.397744,35081
683.909735,35365
685.421046,33435
686.931677,35160
688.441628,30155
689.950899,35258
691.459492,34662
692.967406,34844
694.474641,34486
695.981198,34715
697.487078,16065
698.992279,34559
700.496804,34574
702.000652,34075
703.503823,28915
705.006318,29918
706.508137,34340
708.00928,32087
709.509748,34418
711.009541,33820
712.50866,33594
714.007104,30949
715.504874,29339
717.00197,33537
718.498393,33408
719.994142,33531
721.489219,33437
722.983624,33385
724.477356,33042
725.970416,29226
727.462805,32964
728.954522,31758
730.445569,25152
731.935944,32797
733.42565,32509
734.914685,32722
736.403051,32664
737.890748,32545
739.377775,32363
740.864133,27320
742.349823,32221
743.834845,31808
745.319199,32421
746.802886,31968
748.285905,32476
749.768257,32045
751.249943,31930
752.730962,31809
754.211315,31538
755.691003,31814
757.170025,31569
758.648382,29202
760.126075,31134
761.603102,31041
763.079466,31503
764.555166,30805
766.030202,31240
767.504575,30665
768.978285,30875
770.451332,30514
771.923717,31115
773.39544,30632
774.866501,30508
776.3369,30325
777.806639,29809
779.275716,30499
780.744134,29680
782.21189,29662
783.678987,29434
785.145425,28681
786.611203,29325
788.076322,29004
789.540782,28890
791.004583,27923
