Frequent,Density
342.633515,38509
344.298796,36201
345.963324,36999
347.627098,35737
349.29012,40687
350.952388,36209
352.613904,37695
354.274668,34752
355.93468,34293
357.593941,38566
359.252451,38701
360.910211,31920
362.56722,37068
364.22348,33701
365.87899,31031
367.533751,41171
369.187763,35826
370.841027,34124
372.493543,37245
374.145311,42526
375.796332,38066
377.446607,23353
379.096134,42666
380.744916,34953
382.392952,31843
384.040242,38061
385.686787,47011
387.332588,37247
388.977645,40219
390.621957,36802
392.265526,42269
393.908351,31772
395.550434,40644
397.191775,38168
398.832373,29475
400.472229,39833
402.111344,43502
403.749718,43514
405.387351,39598
407.024244,30846
408.660397,38359
410.295811,40753
411.930485,41727
413.56442,40389
415.197617,48085
416.830076,26714
418.461796,41319
420.09278,40702
421.723026,37491
423.352536,30377
424.981309,32803
426.609346,38224
428.236648,36291
429.863214,41954
431.489046,44319
433.114143,30424
434.738505,40930
436.362134,33532
437.98503,32371
439.607192,36296
441.228621,33730
442.849318,39105
444.469283,31804
446.088516,38058
447.707018,33040
449.324789,28927
450.941829,36061
452.558139,32660
454.173719,39071
455.78857,7750
457.402691,37076
459.016083,38951
460.628747,38696
462.240682,39810
463.85189,39799
465.46237,36896
467.072124,39798
468.68115,32090
470.28945,40145
471.897024,34218
473.503872,34530
475.109995,40331
476.715393,35887
478.320066,40759
479.924015,34957
481.52724,37085
483.129741,36072
484.731519,33462
486.332575,39278
487.932907,27949
489.532517,37769
491.131406,31410
492.729573,31517
494.327019,37265
495.923744,37499
497.519748,29367
499.115033,35821
500.709597,39641
502.303442,38649
503.896568,37080
505.488976,35520
507.080665,38969
508.671635,38077
510.261889,29971
511.851424,36916
513.440243,33444
515.028345,38823
516.615731,39795
518.202401,37514
519.788355,35710
521.373593,42462
522.958117,36616
524.541926,29910
526.125021,36729
527.707402,30865
529.28907,37389
530.870024,25744
532.450265,31199
534.029794,35841
535.60861,35019
537.186715,42383
538.764108,32820
540.340789,30572
541.91676,39333
543.492021,39824
545.066571,33630
546.640411,35712
548.213542,32540
549.785964,31717
551.357676,40402
552.928681,35779
554.498977,44800
556.068565,32820
557.637446,41491
559.20562,44341
560.773087,40630
562.339847,36532
563.905901,33970
565.47125,32696
567.035893,31839
568.599831,32765
570.163064,37454
571.725593,36601
573.287417,38224
574.848538,41954
576.408955,35895
577.968669,34069
579.52768,36555
581.085989,31916
582.643596,39433
584.200501,37550
585.756704,32947
587.312207,42514
588.867008,39324
590.42111,39475
591.974511,34481
593.527212,35616
595.079214,31139
596.630516,39382
598.18112,39978
599.731025,25091
601.280232,36842
602.828742,39394
604.376554,37271
605.923668,39187
607.470086,33412
609.015808,41989
610.560833,36747
612.105162,39216
613.648796,36288
615.191735,35258
616.733979,33721
618.275528,42415
619.816383,33102
621.356544,31746
622.896012,37479
624.434787,38889
625.972868,33834
627.510257,34061
629.046954,39213
630.582959,33586
632.118272,33599
633.652894,41497
635.186825,37713
636.720066,38093
638.252616,33669
639.784476,40636
641.315647,31731
642.846128,30023
644.37592,33337
645.905024,33377
647.433439,28500
648.961166,39756
650.488206,39487
652.014558,31505
653.540223,32801
655.065201,35986
656.589493,37934
658.113099,35726
659.636019,36085
661.158253,35307
662.679803,37729
664.200668,36325
665.720848,37584
667.240344,37706
668.759156,35626
670.277284,34679
671.79473,36951
673.311492,35868
674.827572,36746
676.34297,36528
677.857686,34136
679.37172,36574
680.885072,28734
682.397744,34184
683.909735,35063
685.421046,34252
686.931677,35556
688.441628,31219
689.950899,35208
691.459492,35208
692.967406,35375
694.474641,34648
695.981198,35164
697.487078,17637
698.992279,35074
700.496804,34750
702.000652,34512
703.503823,29969
705.006318,30661
706.508137,34668
708.00928,32889
709.509748,34706
711.009541,34247
712.50866,34385
714.007104,31784
715.504874,30621
717.00197,33970
718.498393,33758
719.994142,34117
721.489219,33554
722.983624,33670
724.477356,33501
725.970416,30152
727.462805,33029
728.954522,32685
730.445569,26254
731.935944,33113
733.42565,32897
734.914685,32753
736.403051,32859
737.890748,33071
739.377775,32487
740.864133,28457
742.349823,32531
743.834845,32134
745.319199,32518
746.802886,32066
748.285905,32508
749.768257,32030
751.249943,32510
752.730962,32258
754.211315,32033
755.691003,32057
757.170025,31825
758.648382,29999
760.126075,31570
761.603102,31521
763.079466,31793
