Wave shift,Intensity
1397.874312,10347
1399.063835,10482
1400.252818,10367
1401.44126,10219
1402.629162,10372
1403.816524,10359
1405.003346,10269
1406.189629,10193
1407.375372,10245
1408.560576,10240
1409.745241,10392
1410.929368,10442
1412.112956,10067
1413.296006,10385
1414.478517,10402
1415.660491,10186
1416.841927,10129
1418.022826,10449
1419.203188,10136
1420.383012,10419
1421.5623,10109
1422.741051,10329
1423.919266,10311
1425.096945,10164
1426.274088,10547
1427.450695,10220
1428.626766,10346
1429.802302,10386
1430.977303,10250
1432.15177,10133
1433.325701,10414
1434.499098,10709
1435.671961,10635
1436.84429,10537
1438.016085,10643
1439.187347,10523
1440.358075,10208
1441.528269,10371
1442.697931,10162
1443.86706,10477
1445.035657,10330
1446.203721,10608
1447.371253,10402
1448.538253,10229
1449.704721,10506
1450.870658,10263
1452.036064,10414
1453.200938,10267
1454.365282,10446
1455.529094,10015
1456.692377,9982
1457.855129,9909
1459.017351,10208
1460.179043,9879
1461.340206,10032
1462.500839,10067
1463.660943,9890
1464.820517,9798
1465.979563,10005
1467.138081,256
1468.29607,10015
1469.453531,9713
1470.610464,9723
1471.766869,9554
1472.922746,9701
1474.078096,9629
1475.232919,9622
1476.387215,9799
1477.540985,9915
1478.694227,9439
1479.846944,9929
1480.999134,9609
1482.150798,9705
1483.301937,9347
1484.45255,9817
1485.602637,9677
1486.7522,9615
1487.901238,10021
1489.049751,9709
1490.197739,9690
1491.345203,9594
1492.492144,9832
1493.63856,9591
1494.784452,10016
1495.929821,10079
1497.074667,9653
1498.21899,10134
1499.36279,9768
1500.506067,10080
1501.648821,9640
1502.791054,9536
1503.932764,9845
1505.073953,9988
1506.21462,9592
1507.354765,9744
1508.494389,10024
1509.633492,9918
1510.772074,9622
1511.910136,9678
1513.047677,9862
1514.184698,9776
1515.321198,9869
1516.457179,9727
1517.592641,10227
1518.727582,9933
1519.862005,9850
1520.995909,9741
1522.129293,9828
1523.262159,9782
1524.394507,10273
1525.526336,9909
1526.657647,10098
1527.788441,10084
1528.918717,10241
1530.048475,10100
1531.177716,10432
1532.30644,10219
1533.434647,10256
1534.562338,10298
1535.689512,10098
1536.816169,10394
1537.942311,10580
1539.067937,10510
1540.193047,10829
1541.317642,10827
1542.441721,11027
1543.565285,10536
1544.688335,10561
1545.81087,10552
1546.93289,10795
1548.054396,10584
1549.175388,10792
1550.295866,10719
1551.41583,10876
1552.535281,10797
1553.654218,11088
1554.772643,11038
1555.890554,10936
1557.007953,10916
1558.124839,10908
1559.241213,10906
1560.357075,11169
1561.472424,11038
1562.587262,11414
1563.701589,11236
1564.815404,10991
1565.928708,11683
1567.041501,11599
1568.153783,11625
1569.265555,11268
1570.376816,11433
1571.487567,11243
1572.597808,11247
1573.707539,11824
1574.816761,11742
1575.925473,11896
1577.033676,11665
1578.14137,11951
1579.248555,11746
1580.355231,11641
1581.461399,11808
1582.567059,12010
1583.672211,11722
1584.776854,12007
1585.88099,12258
1586.984619,12024
1588.08774,12523
1589.190354,12253
1590.292462,12305
1591.394062,12733
1592.495156,12858
1593.595744,13037
1594.695825,13138
1595.795401,13034
1596.89447,13109
1597.993034,13279
1599.091093,13503
1600.188647,13371
1601.285695,13395
1602.382239,13491
1603.478278,13718
1604.573812,14040
1605.668843,14069
1606.763369,14164
1607.857391,14247
1608.95091,14065
1610.043925,14488
1611.136437,14854
1612.228446,14836
1613.319952,14883
1614.410955,14793
1615.501455,14972
1616.591453,15291
1617.680949,15486
1618.769943,15535
1619.858435,15708
1620.946426,15608
1622.033915,15589
1623.120903,15877
1624.20739,15604
1625.293376,14736
1626.378861,16110
1627.463845,15755
1628.54833,15627
1629.632314,15766
1630.715799,15614
1631.798783,16167
1632.881268,16194
1633.963254,16304
1635.04474,16377
1636.125728,16189
1637.206216,16131
1638.286206,16063
1639.365698,15736
1640.444691,15908
1641.523187,16273
1642.601184,15869
1643.678683,16115
1644.755686,16010
1645.83219,16126
1646.908198,15769
1647.983708,15692
1649.058722,16125
1650.133239,15805
1651.20726,15281
1652.280785,15299
1653.353813,15304
1654.426346,15565
1655.498383,14686
1656.569924,15204
1657.64097,15034
1658.711521,15222
1659.781577,14801
1660.851139,15029
1661.920205,14650
1662.988777,14535
1664.056855,14715
1665.124439,14388
1666.191529,13971
1667.258126,14051
1668.324229,13897
1669.389838,13575
1670.454955,13568
1671.519578,13454
1672.583709,13471
1673.647347,13154
1674.710493,12623
1675.773147,12770
1676.835308,12523
1677.896978,12838
1678.958155,12175
1680.018842,12136
1681.079037,12053
1682.138741,11924
1683.197954,11471
1684.256676,11089
1685.314908,11056
1686.372649,10878
1687.4299,11040
1688.48666,10890
1689.542931,10186
1690.598713,10536
1691.654004,10615
1692.708807,10274
1693.76312,10461
1694.816944,10219
1695.870279,9890
1696.923126,9574
1697.975484,9761
1699.027354,9457
1700.078736,9347
1701.12963,9259
1702.180036,8961
1703.229955,9175
1704.279386,9061
1705.32833,8633
1706.376787,8631
1707.424757,8568
1708.47224,8700
1709.519237,8325
1710.565748,8295
1711.611772,8122
1712.65731,7948
1713.702363,7932
1714.74693,7943
1715.791011,7932
1716.834608,8153
1717.877719,7814
1718.920345,8196
1719.962486,7567
1721.004143,7328
1722.045316,7481
1723.086004,7317
1724.126208,7184
1725.165929,7438
1726.205165,7582
1727.243918,7104
1728.282188,6806
1729.319975,6940
1730.357278,6937
1731.394099,6775
1732.430437,6574
1733.466293,6723
1734.501666,6306
1735.536557,6275
1736.570967,6765
1737.604894,6439
1738.63834,6216
1739.671304,6455
1740.703787,6043
1741.735789,6404
1742.767311,6162
1743.798351,6090
1744.828911,6117
1745.85899,5704
1746.888589,5812
1747.917708,5913
1748.946348,5549
1749.974507,6164
1751.002187,5544
1752.029388,5742
1753.056109,6047
1754.082351,5519
1755.108115,5322
1756.1334,5310
1757.158206,5537
1758.182534,5437
1759.206384,5824
1760.229755,5609
1761.252649,5101
1762.275065,5494
1763.297004,5356
1764.318466,5284
1765.33945,5161
1766.359957,5057
1767.379988,5185
1768.399542,4806
1769.418619,4914
1770.43722,5326
1771.455345,4799
1772.472994,4884
1773.490167,4541
1774.506865,4941
1775.523087,4547
1776.538834,4899
1777.554106,4800
1778.568902,4837
1779.583224,5088
1780.597072,5047
1781.610444,4822
1782.623343,4998
1783.635768,4350
1784.647718,4478
1785.659195,4397
1786.670198,4439
1787.680728,4315
1788.690784,4481
1789.700368,4691
1790.709478,4617
1791.718116,4467
1792.726281,4501
1793.733973,4431
1794.741194,4330
1795.747942,4373
1796.754218,4502
1797.760023,4319
1798.765356,4446
1799.770217,4799
1800.774607,4622
1801.778526,4649
1802.781974,4001
1803.784952,4113
1804.787458,4514
1805.789495,4627
1806.791061,4584
1807.792156,4241
1808.792782,4355
1809.792938,4215
1810.792625,4360
1811.791842,4226
1812.79059,4076
1813.788868,4118
1814.786678,3998
1815.784019,4262
1816.780891,3937
1817.777295,4130
1818.77323,4333
1819.768697,4209
1820.763697,4431
1821.758228,4305
1822.752292,4469
1823.745888,4327
1824.739017,4018
1825.731679,3963
1826.723874,3891
1827.715602,4350
1828.706863,4189
1829.697658,4379
1830.687986,4184
1831.677848,4187
1832.667244,4217
1833.656175,3875
1834.644639,4161
1835.632638,4190
1836.620172,3848
1837.60724,3758
1838.593844,3951
1839.579982,3820
1840.565656,3875
1841.550865,4002
1842.53561,3927
1843.51989,4124
1844.503706,4204
1845.487059,3916
1846.469947,3875
1847.452372,4192
1848.434334,4132
1849.415832,4044
1850.396867,3702
1851.377439,4264
1852.357549,3818
1853.337195,3798
1854.31638,3810
1855.295101,4167
1856.273361,3756
1857.251159,3639
1858.228494,3805
1859.205369,3665
1860.181781,3781
1861.157732,3840
1862.133222,3823
1863.108251,3515
1864.082819,3821
1865.056926,3927
1866.030573,4026
1867.003759,3947
1867.976485,3919
1868.948751,3780
1869.920556,3748
1870.891902,3887
1871.862789,3818
1872.833216,3556
1873.803183,3778
1874.772691,3708
1875.741741,3870
1876.710331,3765
1877.678463,3638
1878.646136,3597
1879.613351,3680
1880.580108,3399
1881.546406,3852
1882.512247,3577
1883.47763,3552
1884.442555,3796
1885.407023,3613
1886.371033,3546
1887.334586,4011
1888.297683,3652
1889.260322,3804
1890.222505,3566
1891.184231,3715
1892.145501,3468
1893.106315,3266
1894.066673,3704
1895.026574,3569
1895.98602,3494
1896.945011,3546
1897.903546,3235
1898.861626,3386
1899.81925,3559
1900.77642,3631
1901.733135,3475
1902.689395,3503
1903.6452,3471
1904.600551,3729
1905.555448,3568
1906.509891,3490
1907.46388,3366
1908.417416,3885
1909.370498,3931
1910.323126,3346
1911.275301,3493
1912.227023,3645
1913.178292,3512
1914.129108,3312
1915.079471,3291
1916.029382,3793
1916.97884,3708
1917.927846,3402
1918.876401,3668
1919.824503,3492
1920.772153,3745
1921.719352,3370
1922.6661,3659
1923.612396,3870
1924.558241,3614
1925.503635,3402
1926.448578,3335
1927.39307,3955
1928.337112,3639
1929.280703,3381
1930.223844,3467
1931.166535,3560
1932.108776,3522
1933.050568,3352
1933.991909,3854
1934.932801,3617
1935.873244,3596
1936.813238,3577
1937.752782,3396
1938.691878,3621
1939.630525,3559
1940.568723,3448
1941.506473,3611
1942.443774,3882
1943.380627,3379
1944.317033,3849
1945.25299,3596
1946.1885,4173
1947.123562,3607
1948.058177,3715
1948.992344,3721
1949.926065,3984
1950.859338,3486
1951.792165,3497
1952.724545,3641
1953.656478,3885
1954.587965,3706
1955.519006,3633
1956.4496,3628
1957.379749,3929
1958.309452,3543
1959.238709,3495
1960.167521,3608
1961.095888,3780
1962.023809,3964
1962.951285,3449
1963.878317,3657
1964.804903,3768
1965.731045,3654
1966.656743,3574
1967.581996,3440
1968.506805,3483
1969.43117,4070
1970.355091,3529
1971.278568,3795
1972.201602,3406
1973.124192,3659
1974.046339,3745
1974.968043,3759
1975.889304,3618
1976.810122,3489
1977.730498,3931
1978.65043,3594
1979.569921,3807
1980.488969,3711
1981.407574,3559
1982.325738,3829
1983.24346,3403
1984.160741,3673
1985.077579,3860
1985.993977,3839
1986.909933,3911
1987.825448,3504
1988.740522,3553
1989.655155,3648
1990.569347,3695
1991.483099,3754
1992.396411,3720
1993.309282,3784
1994.221713,3836
1995.133704,3471
1996.045256,3339
1996.956367,3762
1997.867039,3624
1998.777272,3720
1999.687065,3816
2000.596419,3598
2001.505335,3593
2002.413811,3604
2003.321849,4048
2004.229448,3788
2005.136609,3581
2006.043331,3730
2006.949616,3994
2007.855462,3596
2008.760871,3650
2009.665841,3665
2010.570375,3887
2011.47447,3949
2012.378129,3912
2013.281351,3753
2014.184135,3854
2015.086483,3915
2015.988393,3809
2016.889868,3494
2017.790906,3691
2018.691507,3481
