Frequent,Density
624.434787,38298
625.972868,32748
627.510257,33300
629.046954,38430
630.582959,32619
632.118272,32865
633.652894,40456
635.186825,36682
636.720066,37285
638.252616,32892
639.784476,39793
641.315647,30800
642.846128,29257
644.37592,32459
645.905024,32718
647.433439,27647
648.961166,38832
650.488206,39117
652.014558,30182
653.540223,32095
655.065201,35306
656.589493,36996
658.113099,34852
659.636019,35245
661.158253,34364
662.679803,37898
664.200668,35414
665.720848,37385
667.240344,37191
668.759156,34644
670.277284,33897
671.79473,36344
673.311492,35126
674.827572,36168
676.34297,35932
677.857686,33223
679.37172,35441
680.885072,27847
682.397744,35082
683.909735,34792
685.421046,33436
686.931677,34903
688.441628,30156
689.950899,34985
691.459492,34642
692.967406,34591
694.474641,34638
695.981198,34364
697.487078,16066
698.992279,34203
700.496804,34420
702.000652,34148
703.503823,28916
705.006318,29919
706.508137,34280
708.00928,32088
709.509748,33971
711.009541,33648
712.50866,33448
714.007104,30950
715.504874,29340
717.00197,33396
718.498393,33282
719.994142,33434
721.489219,33232
722.983624,33209
724.477356,32858
725.970416,29227
727.462805,32758
728.954522,31759
730.445569,25153
731.935944,32604
733.42565,32423
734.914685,32684
736.403051,32574
737.890748,32211
739.377775,31969
740.864133,27321
742.349823,32222
743.834845,32059
745.319199,32406
746.802886,32217
748.285905,32114
749.768257,31897
751.249943,31886
752.730962,31888
754.211315,31715
755.691003,31796
757.170025,31501
758.648382,29203
760.126075,31208
761.603102,31168
763.079466,31417
764.555166,30999
766.030202,30993
767.504575,30560
768.978285,30713
770.451332,30421
771.923717,30664
773.39544,30639
774.866501,30688
776.3369,30331
777.806639,30081
779.275716,30358
780.744134,29434
782.21189,29663
783.678987,29034
785.145425,28869
786.611203,29227
788.076322,28831
789.540782,28536
791.004583,27924
792.467727,28431
793.930213,27940
795.392041,27532
796.853212,27642
798.313726,27290
799.773584,27348
801.232785,27131
802.69133,27205
804.14922,26429
805.606454,26787
807.063032,26762
808.518956,26668
809.974226,26423
811.428841,26095
812.882802,25842
814.33611,25746
815.788764,25219
817.240766,25284
818.692114,25338
820.14281,24735
821.592854,25150
823.042246,25116
824.490986,24981
825.939075,24347
827.386514,24551
828.833301,24082
830.279438,24217
831.724925,23991
833.169762,23966
834.61395,23718
836.057488,23840
837.500378,23277
838.942619,23726
840.384212,23364
841.825156,23721
843.265453,23288
844.705102,16411
846.144105,23126
847.58246,23521
849.020169,23171
850.457231,22851
851.893648,23004
853.329418,22799
854.764544,22721
856.199024,22334
857.632859,22650
859.06605,22316
860.498597,22448
861.9305,22195
863.361759,21849
864.792374,22029
866.222347,21740
867.651677,21656
869.080364,21624
870.508409,21579
871.935812,21343
873.362574,21209
874.788694,20971
876.214173,21182
877.639011,20780
879.063209,20666
880.486766,20709
881.909684,20578
883.331962,20646
884.753601,20541
886.174601,20399
887.594961,20127
889.014684,19792
890.433768,20134
891.852214,20027
893.270023,19796
894.687194,19968
896.103729,19792
897.519626,19658
898.934887,19376
900.349512,19592
901.763501,19192
903.176854,19176
904.589572,19400
906.001655,18657
907.413103,18470
908.823917,18728
910.234096,18284
911.643642,18046
913.052554,18087
914.460832,17811
915.868477,18325
917.27549,17768
918.68187,18084
920.087618,17976
921.492734,17828
922.897218,17445
924.301071,17685
925.704292,17089
927.106883,17490
928.508844,17441
929.910174,17343
931.310874,17193
932.710944,17205
934.110385,16927
935.509197,17233
936.907379,17222
938.304934,17071
939.70186,16787
941.098158,16790
942.493828,16807
943.88887,16718
945.283286,16392
946.677075,16638
948.070236,16914
949.462772,16196
950.854681,16700
952.245965,16265
953.636623,16468
955.026656,16600
956.416064,16162
957.804847,16406
959.193006,16145
960.58054,15947
961.967451,16226
963.353738,16353
964.739402,16081
966.124442,16109
967.50886,16192
968.892656,15825
970.275829,15939
971.65838,16225
973.04031,16129
974.421618,15682
975.802305,15931
977.182371,16218
978.561816,15885
979.940641,15759
981.318846,16057
982.696432,15706
984.073398,15571
985.449744,15985
986.825472,15810
988.200581,15557
989.575072,15638
990.948944,15688
992.322199,15881
993.694836,15745
995.066855,15959
996.438258,15730
997.809044,15696
999.179213,15841
1000.548766,15487
1001.917703,15612
1003.286024,15725
1004.65373,15398
1006.020821,15299
1007.387297,15600
1008.753158,14686
1010.118405,12773
1011.483038,15320
1012.847057,15278
1014.210462,15265
1015.573254,15305
1016.935433,15315
1018.296999,15123
1019.657953,14966
1021.018295,14955
1022.378025,14773
1023.737143,14976
1025.095649,15262
1026.453544,15118
1027.810829,15162
1029.167503,14979
1030.523566,14850
1031.87902,14673
1033.233863,14833
1034.588097,14890
1035.941722,14686
1037.294738,14716
1038.647145,15027
1039.998943,14751
1041.350133,14909
1042.700716,14431
1044.05069,14789
1045.400057,14594
1046.748817,14782
1048.09697,14719
1049.444516,14796
1050.791456,14789
1052.13779,14815
1053.483518,14705
1054.82864,15088
1056.173157,14848
1057.517069,15549
1058.860376,14998
1060.203079,14971
1061.545177,15314
1062.886671,14895
1064.227562,15215
1065.567848,15266
1066.907532,14674
1068.246613,14970
1069.585091,14902
1070.922966,14944
1072.260239,14749
1073.596911,15063
1074.93298,14482
1076.268448,14790
1077.603315,14431
1078.937581,14551
1080.271247,14552
1081.604312,14341
1082.936776,14150
1084.268641,14250
1085.599907,14308
1086.930573,13953
1088.260639,14097
1089.590107,14144
1090.918977,13848
1092.247248,14152
1093.574921,13853
1094.901996,13927
1096.228474,13964
1097.554354,14118
1098.879637,14167
1100.204323,14069
1101.528413,14122
1102.851907,13848
1104.174804,14117
1105.497106,13978
1106.818812,13949
1108.139923,13968
1109.460439,14115
1110.78036,13991
1112.099687,14192
1113.41842,13963
1114.736558,14254
1116.054103,14030
1117.371054,14188
1118.687412,13869
1120.003177,14060
1121.318349,14178
1122.632929,14036
1123.946916,14324
1125.260312,14075
1126.573116,13834
1127.885328,13873
1129.196949,13978
1130.507979,13759
1131.818419,13864
1133.128268,13725
1134.437527,13273
1135.746195,13542
1137.054275,13242
1138.361764,13020
1139.668665,13083
1140.974976,12967
1142.280699,12881
1143.585833,13080
1144.890379,13111
1146.194337,13098
1147.497708,12962
1148.800491,12789
1150.102687,12671
1151.404295,12620
1152.705318,12831
1154.005753,12570
1155.305603,12715
1156.604866,12980
1157.903544,12818
1159.201636,12642
1160.499143,12472
1161.796065,12814
1163.092402,12595
1164.388155,12907
1165.683324,12598
1166.977908,12252
1168.271909,12938
1169.565326,12698
1170.85816,12832
1172.150411,12760
1173.44208,12513
1174.733165,12526
1176.023669,12855
1177.31359,12855
1178.60293,12368
1179.891688,12681
1181.179865,12587
1182.467461,12748
1183.754476,12446
1185.04091,12800
1186.326765,12583
1187.612039,12708
1188.896733,12515
1190.180848,12699
1191.464383,12750
1192.747339,12526
1194.029717,12557
1195.311515,12804
1196.592736,12840
1197.873378,12679
1199.153442,12793
1200.432929,12941
1201.711838,12820
1202.990171,12881
1204.267926,12890
1205.545105,12535
1206.821707,12959
1208.097733,12987
1209.373183,12757
1210.648057,12591
1211.922356,12756
1213.196079,12502
1214.469228,12624
1215.741802,12529
1217.013801,12520
1218.285226,12445
