Frequency,Intensity
1456.692377,11510
1457.855129,11608
1459.017351,11685
1460.179043,11247
1461.340206,11620
1462.500839,11608
1463.660943,11417
1464.820517,11168
1465.979563,11157
1467.138081,-54
1468.29607,10821
1469.453531,11061
1470.610464,10603
1471.766869,10700
1472.922746,10402
1474.078096,10373
1475.232919,10213
1476.387215,10108
1477.540985,10399
1478.694227,10074
1479.846944,10228
1480.999134,10110
1482.150798,9859
1483.301937,9995
1484.45255,10066
1485.602637,10019
1486.7522,9890
1487.901238,9851
1489.049751,10002
1490.197739,9998
1491.345203,10003
1492.492144,9984
1493.63856,9963
1494.784452,9780
1495.929821,9538
1497.074667,9811
1498.21899,9881
1499.36279,10078
1500.506067,9915
1501.648821,9964
1502.791054,10180
1503.932764,9829
1505.073953,10046
1506.21462,9759
1507.354765,9975
1508.494389,9533
1509.633492,10162
1510.772074,10354
1511.910136,9831
1513.047677,10107
1514.184698,9897
1515.321198,9854
1516.457179,10146
1517.592641,9880
1518.727582,10011
1519.862005,9779
1520.995909,10124
1522.129293,10306
1523.262159,10485
1524.394507,10162
1525.526336,10460
1526.657647,10395
1527.788441,9996
1528.918717,10388
1530.048475,10288
1531.177716,10137
1532.30644,10556
1533.434647,10493
1534.562338,10499
1535.689512,10623
1536.816169,10696
1537.942311,10619
1539.067937,10593
1540.193047,10955
1541.317642,10623
1542.441721,10655
1543.565285,10719
1544.688335,10547
1545.81087,10610
1546.93289,10899
1548.054396,11106
1549.175388,10924
1550.295866,11100
1551.41583,11058
1552.535281,10940
1553.654218,11066
1554.772643,11421
1555.890554,10993
1557.007953,11242
1558.124839,10967
1559.241213,11216
1560.357075,11257
1561.472424,11151
1562.587262,11410
1563.701589,11578
1564.815404,11517
1565.928708,11734
1567.041501,11412
1568.153783,11902
1569.265555,11712
1570.376816,11579
1571.487567,11422
1572.597808,11665
1573.707539,11836
1574.816761,11823
1575.925473,11918
1577.033676,12078
1578.14137,12200
1579.248555,12247
1580.355231,12253
1581.461399,12050
1582.567059,12276
1583.672211,12463
1584.776854,12209
1585.88099,12610
1586.984619,12728
1588.08774,12035
1589.190354,12108
1590.292462,13054
1591.394062,12920
1592.495156,13313
1593.595744,13256
1594.695825,13537
1595.795401,13294
1596.89447,13549
1597.993034,13689
1599.091093,13927
1600.188647,14033
1601.285695,13912
1602.382239,14049
1603.478278,14347
1604.573812,14399
1605.668843,14572
1606.763369,14529
1607.857391,15242
1608.95091,14839
1610.043925,15188
1611.136437,15109
1612.228446,15618
1613.319952,15520
1614.410955,15876
1615.501455,15879
1616.591453,15475
1617.680949,16072
1618.769943,16009
1619.858435,16185
1620.946426,16277
1622.033915,16450
1623.120903,16467
1624.20739,16756
1625.293376,16733
1626.378861,16832
1627.463845,16904
1628.54833,17095
1629.632314,17041
1630.715799,17112
1631.798783,16853
1632.881268,17211
1633.963254,16871
1635.04474,16559
1636.125728,17117
1637.206216,17062
1638.286206,16803
1639.365698,17093
1640.444691,16901
1641.523187,16634
1642.601184,16720
1643.678683,16876
1644.755686,16853
1645.83219,16561
1646.908198,16498
1647.983708,16561
1649.058722,16693
1650.133239,16697
1651.20726,16414
1652.280785,16220
1653.353813,16271
1654.426346,16226
1655.498383,15864
1656.569924,15714
1657.64097,15873
1658.711521,15752
1659.781577,15412
1660.851139,15479
1661.920205,15120
1662.988777,15392
1664.056855,14909
1665.124439,14665
1666.191529,14767
1667.258126,14599
1668.324229,14471
1669.389838,14247
1670.454955,14084
1671.519578,13882
1672.583709,13838
1673.647347,13495
1674.710493,13391
1675.773147,12715
1676.835308,12758
1677.896978,12446
1678.958155,12678
1680.018842,12337
1681.079037,12105
1682.138741,11870
1683.197954,11884
1684.256676,11560
1685.314908,11234
1686.372649,10930
1687.4299,10794
1688.48666,10945
1689.542931,10827
1690.598713,10436
1691.654004,10360
1692.708807,9968
1693.76312,10059
1694.816944,10111
1695.870279,9843
1696.923126,9703
1697.975484,9631
1699.027354,9447
1700.078736,9581
1701.12963,9361
1702.180036,9147
1703.229955,9175
1704.279386,8811
1705.32833,8798
1706.376787,8573
1707.424757,8451
1708.47224,8858
1709.519237,8064
1710.565748,8056
1711.611772,8087
1712.65731,8009
1713.702363,7948
1714.74693,7919
1715.791011,7475
1716.834608,7477
1717.877719,7429
1718.920345,6987
1719.962486,7306
1721.004143,7490
1722.045316,6990
1723.086004,6960
1724.126208,6906
1725.165929,6622
1726.205165,6386
1727.243918,6756
1728.282188,6411
1729.319975,6492
1730.357278,6292
1731.394099,6178
1732.430437,6227
1733.466293,5995
1734.501666,6097
1735.536557,6103
1736.570967,5998
1737.604894,5676
1738.63834,5980
1739.671304,5777
1740.703787,5622
1741.735789,5646
1742.767311,5621
1743.798351,5481
1744.828911,5447
1745.85899,5612
1746.888589,5542
1747.917708,5342
1748.946348,5284
1749.974507,5656
1751.002187,5171
1752.029388,5116
1753.056109,4982
1754.082351,5033
1755.108115,4993
1756.1334,4799
1757.158206,4923
1758.182534,4710
1759.206384,4695
1760.229755,4809
1761.252649,4465
1762.275065,4641
1763.297004,4760
1764.318466,4476
1765.33945,4652
1766.359957,4315
1767.379988,4459
1768.399542,4515
1769.418619,4351
1770.43722,4123
1771.455345,4170
1772.472994,4144
1773.490167,4075
1774.506865,4242
1775.523087,3844
1776.538834,3918
1777.554106,3905
1778.568902,3965
1779.583224,4006
1780.597072,3797
1781.610444,3984
1782.623343,3780
1783.635768,3949
1784.647718,3632
1785.659195,3719
1786.670198,3599
1787.680728,3889
1788.690784,3801
1789.700368,3657
1790.709478,3831
1791.718116,3846
1792.726281,3826
1793.733973,3761
1794.741194,3685
1795.747942,3792
1796.754218,3494
1797.760023,3618
1798.765356,3557
1799.770217,3853
1800.774607,3479
1801.778526,3530
1802.781974,3668
1803.784952,3833
1804.787458,3480
1805.789495,3378
1806.791061,3522
1807.792156,3449
1808.792782,3468
1809.792938,3515
1810.792625,3198
1811.791842,3400
1812.79059,3446
1813.788868,3641
1814.786678,3537
1815.784019,3148
1816.780891,3685
1817.777295,3556
1818.77323,3431
1819.768697,3333
1820.763697,3349
1821.758228,3179
1822.752292,3607
1823.745888,3445
1824.739017,3297
1825.731679,3322
1826.723874,3284
1827.715602,3104
1828.706863,3203
1829.697658,3253
1830.687986,3364
1831.677848,3357
1832.667244,3203
1833.656175,3198
1834.644639,3133
1835.632638,3287
1836.620172,3347
1837.60724,2976
1838.593844,3326
1839.579982,3177
1840.565656,3017
1841.550865,3130
1842.53561,3329
1843.51989,3212
1844.503706,3232
1845.487059,2920
1846.469947,3296
1847.452372,3013
1848.434334,3093
1849.415832,2937
1850.396867,3025
1851.377439,3213
1852.357549,3014
1853.337195,3300
1854.31638,2980
1855.295101,3012
1856.273361,2886
1857.251159,2952
1858.228494,3139
1859.205369,2997
1860.181781,3135
1861.157732,2862
1862.133222,2821
1863.108251,2902
1864.082819,2796
1865.056926,3181
1866.030573,2760
1867.003759,3049
1867.976485,2846
1868.948751,2675
1869.920556,2881
1870.891902,2819
1871.862789,2546
1872.833216,3082
1873.803183,2935
1874.772691,2863
1875.741741,2883
1876.710331,2676
1877.678463,2736
1878.646136,2842
1879.613351,2713
1880.580108,2781
1881.546406,2767
1882.512247,2645
1883.47763,2768
1884.442555,2931
1885.407023,2712
1886.371033,2638
1887.334586,2720
1888.297683,2565
1889.260322,2703
1890.222505,2913
1891.184231,2636
1892.145501,2557
1893.106315,2659
1894.066673,2781
1895.026574,2668
1895.98602,2703
1896.945011,2587
1897.903546,2675
1898.861626,2793
1899.81925,2705
1900.77642,2493
1901.733135,2587
1902.689395,2541
1903.6452,2636
1904.600551,2693
1905.555448,2736
1906.509891,2667
1907.46388,2688
1908.417416,2513
1909.370498,2663
1910.323126,2399
1911.275301,2623
1912.227023,2701
1913.178292,2558
1914.129108,2652
1915.079471,2517
1916.029382,2761
1916.97884,2670
1917.927846,2642
1918.876401,2699
1919.824503,2832
1920.772153,2902
1921.719352,2488
1922.6661,2472
1923.612396,2052
1924.558241,2769
1925.503635,2522
1926.448578,2513
1927.39307,2723
1928.337112,2665
1929.280703,2721
1930.223844,2660
1931.166535,2651
1932.108776,2920
1933.050568,2722
1933.991909,2529
1934.932801,2769
1935.873244,2818
1936.813238,2883
1937.752782,3100
1938.691878,2675
1939.630525,2886
1940.568723,2668
1941.506473,2762
1942.443774,2697
1943.380627,2882
1944.317033,2856
1945.25299,2815
1946.1885,2936
1947.123562,2913
1948.058177,2872
1948.992344,2675
1949.926065,2594
1950.859338,2743
1951.792165,2754
1952.724545,3043
1953.656478,2712
1954.587965,2956
1955.519006,2963
1956.4496,2922
1957.379749,2860
1958.309452,2959
1959.238709,2699
1960.167521,2557
1961.095888,2342
1962.023809,2619
1962.951285,2659
1963.878317,2816
1964.804903,2584
1965.731045,2488
1966.656743,2736
1967.581996,2755
1968.506805,2749
1969.43117,2755
1970.355091,2621
1971.278568,2621
1972.201602,2741
1973.124192,2671
1974.046339,3001
1974.968043,2552
1975.889304,2788
1976.810122,2784
1977.730498,2710
1978.65043,2882
1979.569921,2837
1980.488969,2719
1981.407574,2823
1982.325738,3002
1983.24346,2776
1984.160741,2456
1985.077579,2333
1985.993977,2433
1986.909933,2590
1987.825448,2609
1988.740522,2675
1989.655155,2627
1990.569347,2748
1991.483099,2856
1992.396411,2728
1993.309282,2866
1994.221713,2694
1995.133704,2801
1996.045256,2875
1996.956367,2749
1997.867039,2968
1998.777272,2828
1999.687065,2917
2000.596419,2995
2001.505335,2859
2002.413811,2805
2003.321849,2957
2004.229448,2653
2005.136609,2793
2006.043331,2823
2006.949616,2868
2007.855462,3128
2008.760871,2702
2009.665841,2829
2010.570375,2783
2011.47447,2943
2012.378129,2777
2013.281351,2840
2014.184135,2832
2015.086483,2895
2015.988393,2877
2016.889868,2925
2017.790906,2969
2018.691507,2859
2019.591673,3134
2020.491402,3023
2021.390695,2963
2022.289553,3052
2023.187975,2652
2024.085962,3096
2024.983514,2992
2025.88063,3064
2026.777311,3113
2027.673557,2913
2028.569369,2729
2029.464746,2845
2030.359688,3023
2031.254197,2677
2032.148271,2908
2033.04191,2763
2033.935116,3115
2034.827889,2956
2035.720227,2917
2036.612132,2837
2037.503604,3186
2038.394642,3052
2039.285248,3089
2040.17542,2882
2041.06516,2970
2041.954466,3108
2042.843341,3045
2043.731783,2821
2044.619792,3038
2045.50737,3010
2046.394516,2903
2047.281229,2785
2048.167511,2987
2049.053362,2810
2049.938781,2806
2050.823768,2842
2051.708325,2941
2052.59245,3030
2053.476145,2916
2054.359409,2870
2055.242242,2958
2056.124645,2994
2057.006617,2700
2057.888159,2959
2058.769271,2788
2059.649953,3082
2060.530206,2744
2061.410028,2601
2062.289421,2947
2063.168385,3013
2064.046919,2904
2064.925025,2977
2065.802701,2904
2066.679949,2905
2067.556767,2791
2068.433157,2975
2069.309119,2659
2070.184652,2895
2071.059758,2885
2071.934435,2790
2072.808684,3220
2073.682505,3003
2074.555899,2858
2075.428865,2884
