Wave shift,Intensity
725.970416,30394
727.462805,34970
728.954522,32704
730.445569,26261
731.935944,34367
733.42565,34061
734.914685,34585
736.403051,33952
737.890748,34443
739.377775,34022
740.864133,28669
742.349823,33167
743.834845,33540
745.319199,34038
746.802886,33917
748.285905,33831
749.768257,33988
751.249943,33472
752.730962,34186
754.211315,33155
755.691003,33012
757.170025,33394
758.648382,30555
760.126075,32692
761.603102,33228
763.079466,33251
764.555166,33070
766.030202,33279
767.504575,31978
768.978285,32700
770.451332,32686
771.923717,32708
773.39544,32556
774.866501,32417
776.3369,32375
777.806639,32198
779.275716,31927
780.744134,31462
782.21189,30614
783.678987,31392
785.145425,30628
786.611203,30758
788.076322,30493
789.540782,30717
791.004583,29189
792.467727,29997
793.930213,30001
795.392041,29355
796.853212,29347
798.313726,29440
799.773584,29351
801.232785,28655
802.69133,29222
804.14922,28266
805.606454,28403
807.063032,28510
808.518956,28486
809.974226,28305
811.428841,28167
812.882802,27812
814.33611,27520
815.788764,27786
817.240766,27169
818.692114,27456
820.14281,25740
821.592854,27180
823.042246,26944
824.490986,26837
825.939075,27513
827.386514,26793
828.833301,26555
830.279438,26538
831.724925,26313
833.169762,26277
834.61395,26401
836.057488,26660
837.500378,26289
838.942619,26811
840.384212,26551
841.825156,26963
843.265453,26872
844.705102,17992
846.144105,26738
847.58246,26500
849.020169,26610
850.457231,26411
851.893648,25787
853.329418,25970
854.764544,25923
856.199024,26188
857.632859,25902
859.06605,25814
860.498597,25671
861.9305,25588
863.361759,25641
864.792374,25419
866.222347,25104
867.651677,24298
869.080364,24561
870.508409,24835
871.935812,24332
873.362574,24027
874.788694,23788
876.214173,23831
877.639011,23580
879.063209,23989
880.486766,23636
881.909684,23746
883.331962,23600
884.753601,23591
886.174601,23493
887.594961,23604
889.014684,23533
890.433768,23910
891.852214,24310
893.270023,23901
894.687194,24286
896.103729,24069
897.519626,23829
898.934887,24098
900.349512,24291
901.763501,23802
903.176854,23411
904.589572,22983
906.001655,23010
