Waveshift,Intensity
730.445569,25507
731.935944,30301
733.42565,30553
734.914685,30410
736.403051,30685
737.890748,30154
739.377775,30046
740.864133,27777
742.349823,30405
743.834845,30110
745.319199,29951
746.802886,30162
748.285905,30004
749.768257,29992
751.249943,29897
752.730962,29741
754.211315,29912
755.691003,29495
757.170025,29494
758.648382,29108
760.126075,29392
761.603102,29144
763.079466,29237
764.555166,29263
766.030202,28933
767.504575,29080
768.978285,28943
770.451332,29076
771.923717,28625
773.39544,28910
774.866501,28478
776.3369,28897
777.806639,28182
779.275716,28790
780.744134,28475
782.21189,28286
783.678987,28002
785.145425,27416
786.611203,27699
788.076322,27297
789.540782,27574
791.004583,26897
792.467727,26936
793.930213,26515
795.392041,26268
796.853212,26288
798.313726,26692
799.773584,26324
801.232785,25987
802.69133,25724
804.14922,25816
805.606454,25760
807.063032,25395
808.518956,25383
809.974226,25113
811.428841,25081
812.882802,24753
814.33611,24635
815.788764,24835
817.240766,24910
818.692114,24002
820.14281,24362
821.592854,24083
823.042246,24101
824.490986,23880
825.939075,23620
827.386514,23888
828.833301,23311
830.279438,23122
831.724925,23149
833.169762,23290
834.61395,22905
836.057488,23143
837.500378,23202
838.942619,22570
840.384212,22680
841.825156,22676
843.265453,22413
844.705102,16709
846.144105,22525
847.58246,22385
849.020169,22116
850.457231,21538
851.893648,21518
853.329418,21508
854.764544,21842
856.199024,21321
857.632859,21318
859.06605,21328
860.498597,21180
861.9305,20899
863.361759,21100
864.792374,20882
866.222347,20762
867.651677,20493
869.080364,21041
870.508409,20598
871.935812,20564
873.362574,20289
874.788694,20332
876.214173,20042
877.639011,20156
879.063209,20063
880.486766,19658
881.909684,19846
883.331962,19410
884.753601,19757
886.174601,19553
887.594961,19656
889.014684,19007
890.433768,19529
891.852214,19458
893.270023,19080
894.687194,19159
896.103729,18665
897.519626,18300
898.934887,18740
900.349512,18682
901.763501,18405
903.176854,18552
904.589572,18003
906.001655,17867
907.413103,17789
908.823917,17914
910.234096,17566
911.643642,17659
913.052554,17535
914.460832,17048
915.868477,17546
917.27549,17286
918.68187,17155
920.087618,17381
921.492734,17455
922.897218,17261
924.301071,17130
925.704292,16833
