Frequent,Density
591.974511,33999
593.527212,35129
595.079214,30354
596.630516,38602
598.18112,39345
599.731025,24249
601.280232,35796
602.828742,38893
604.376554,36471
605.923668,38508
607.470086,32792
609.015808,41112
610.560833,36086
612.105162,38601
613.648796,35504
615.191735,34526
616.733979,32974
618.275528,42939
619.816383,32414
621.356544,31174
622.896012,36951
624.434787,38273
625.972868,33015
627.510257,33333
629.046954,38633
630.582959,32705
632.118272,33072
633.652894,40767
635.186825,37234
636.720066,37356
638.252616,33194
639.784476,40052
641.315647,30965
642.846128,29351
644.37592,32478
645.905024,32905
647.433439,27472
648.961166,40236
650.488206,40987
652.014558,30455
653.540223,32172
655.065201,35288
656.589493,37336
658.113099,34783
659.636019,35281
661.158253,34650
662.679803,38068
664.200668,35838
665.720848,39301
667.240344,38178
668.759156,34683
670.277284,33896
671.79473,37897
673.311492,35194
674.827572,37301
676.34297,39650
677.857686,33554
679.37172,39287
680.885072,27815
682.397744,35386
683.909735,39157
685.421046,33803
686.931677,35652
688.441628,30011
689.950899,38456
691.459492,38567
692.967406,36121
694.474641,38320
695.981198,38333
697.487078,16591
698.992279,38063
700.496804,37933
702.000652,36297
703.503823,29145
705.006318,29779
706.508137,37805
708.00928,32001
709.509748,37435
711.009541,34520
712.50866,37443
714.007104,31054
715.504874,29768
717.00197,36954
718.498393,36088
719.994142,36895
721.489219,36792
722.983624,33544
724.477356,36675
725.970416,29126
727.462805,36480
728.954522,31748
730.445569,25250
731.935944,35823
733.42565,33065
734.914685,35960
736.403051,33182
737.890748,35828
739.377775,35317
740.864133,27532
742.349823,32275
743.834845,34153
745.319199,35932
746.802886,35027
748.285905,35547
749.768257,34567
751.249943,33186
752.730962,34982
754.211315,32967
755.691003,32236
757.170025,34270
758.648382,29423
760.126075,31893
761.603102,34253
763.079466,34587
764.555166,34457
766.030202,34696
767.504575,31016
768.978285,33711
770.451332,33998
771.923717,34257
773.39544,34208
774.866501,33394
776.3369,33756
777.806639,33301
779.275716,33863
780.744134,32806
782.21189,29867
783.678987,31032
785.145425,32149
786.611203,32365
788.076322,32307
789.540782,31676
791.004583,28004
792.467727,31439
793.930213,31285
795.392041,30440
796.853212,30386
798.313726,29923
799.773584,30115
801.232785,30195
802.69133,29882
804.14922,29397
805.606454,28932
807.063032,29196
808.518956,29115
809.974226,28645
811.428841,28793
812.882802,28902
814.33611,28506
815.788764,28257
817.240766,27993
818.692114,28138
820.14281,24790
821.592854,27923
823.042246,27872
824.490986,27638
825.939075,27439
827.386514,27639
828.833301,27383
830.279438,27202
831.724925,27225
833.169762,27503
834.61395,27035
836.057488,27270
837.500378,25554
838.942619,27346
840.384212,27216
841.825156,27747
843.265453,27717
844.705102,16355
846.144105,27817
847.58246,27340
849.020169,27275
850.457231,26792
851.893648,26494
853.329418,27102
854.764544,26382
856.199024,26281
857.632859,26252
859.06605,26027
860.498597,26051
861.9305,26121
863.361759,25774
864.792374,25792
866.222347,25373
867.651677,24903
869.080364,25246
870.508409,24715
871.935812,24742
873.362574,24340
874.788694,24233
876.214173,24015
877.639011,23814
879.063209,24129
880.486766,23674
881.909684,23557
883.331962,23402
884.753601,23645
886.174601,23562
887.594961,23885
889.014684,23522
890.433768,24207
891.852214,24090
893.270023,24121
894.687194,24141
896.103729,24095
897.519626,24392
898.934887,24293
900.349512,24198
901.763501,23536
903.176854,23791
904.589572,23442
906.001655,23014
907.413103,22863
908.823917,22950
910.234096,22794
911.643642,22237
913.052554,22647
914.460832,22685
915.868477,22883
917.27549,22737
918.68187,22701
920.087618,22219
921.492734,21999
922.897218,21699
924.301071,21747
925.704292,20776
927.106883,20577
928.508844,20317
929.910174,20476
931.310874,20129
932.710944,20036
934.110385,19268
935.509197,19780
936.907379,19678
938.304934,18994
939.70186,18948
941.098158,18804
942.493828,18484
943.88887,18875
945.283286,18465
946.677075,18716
948.070236,18372
949.462772,17838
950.854681,18504
952.245965,18580
953.636623,18304
955.026656,18512
956.416064,18349
957.804847,18504
959.193006,18138
960.58054,17529
961.967451,17868
963.353738,18027
964.739402,17832
966.124442,17823
967.50886,17878
968.892656,17562
970.275829,17804
971.65838,17726
973.04031,17630
974.421618,17447
975.802305,17655
977.182371,17724
978.561816,17557
979.940641,17925
981.318846,17456
982.696432,17600
984.073398,18086
985.449744,17716
986.825472,17899
988.200581,18056
989.575072,18066
990.948944,18183
992.322199,17588
993.694836,17725
995.066855,18140
996.438258,18003
997.809044,17989
999.179213,18406
1000.548766,18001
1001.917703,18416
1003.286024,18256
1004.65373,18557
1006.020821,18377
1007.387297,18830
1008.753158,18768
1010.118405,19158
1011.483038,19024
1012.847057,19405
1014.210462,19139
1015.573254,19552
1016.935433,19687
1018.296999,19638
1019.657953,19454
1021.018295,19560
1022.378025,19488
1023.737143,19351
1025.095649,19351
1026.453544,19141
1027.810829,19136
1029.167503,19098
1030.523566,19088
1031.87902,19161
1033.233863,19250
1034.588097,19160
1035.941722,19477
1037.294738,19414
1038.647145,19607
1039.998943,19395
1041.350133,19442
1042.700716,19563
1044.05069,19809
1045.400057,19564
1046.748817,19582
1048.09697,19601
1049.444516,19678
1050.791456,19891
1052.13779,19758
1053.483518,20313
1054.82864,21123
1056.173157,20807
1057.517069,21455
1058.860376,21119
1060.203079,21591
1061.545177,21881
1062.886671,21904
1064.227562,21860
1065.567848,21460
1066.907532,21684
1068.246613,21379
1069.585091,21102
1070.922966,20704
1072.260239,20504
1073.596911,20274
1074.93298,19794
1076.268448,20453
1077.603315,19748
1078.937581,19786
1080.271247,19289
1081.604312,18929
1082.936776,19029
1084.268641,18492
1085.599907,17951
1086.930573,17750
1088.260639,17826
1089.590107,18072
1090.918977,17778
1092.247248,17579
1093.574921,17857
1094.901996,17813
1096.228474,18220
1097.554354,18225
1098.879637,18250
1100.204323,18604
1101.528413,18591
1102.851907,19000
1104.174804,19326
1105.497106,19225
1106.818812,19550
1108.139923,19636
1109.460439,19642
1110.78036,20069
1112.099687,20001
1113.41842,20253
1114.736558,20454
1116.054103,20659
1117.371054,20822
1118.687412,21359
1120.003177,21404
1121.318349,21847
1122.632929,21901
1123.946916,21879
1125.260312,21693
1126.573116,21796
1127.885328,21383
1129.196949,21184
1130.507979,20948
1131.818419,20414
1133.128268,20358
1134.437527,19482
1135.746195,19506
1137.054275,18946
1138.361764,18121
1139.668665,18203
1140.974976,17317
1142.280699,17133
1143.585833,16683
1144.890379,16492
1146.194337,17109
1147.497708,16317
1148.800491,16527
1150.102687,16395
1151.404295,16322
1152.705318,16187
1154.005753,16162
1155.305603,16537
1156.604866,16260
1157.903544,15939
1159.201636,15984
1160.499143,15305
1161.796065,15354
1163.092402,15410
1164.388155,14960
1165.683324,14784
1166.977908,14907
1168.271909,14621
1169.565326,14683
1170.85816,14910
1172.150411,14620
1173.44208,14419
1174.733165,14296
1176.023669,14626
1177.31359,14401
1178.60293,14134
1179.891688,14147
1181.179865,13926
1182.467461,14101
1183.754476,14147
1185.04091,14055
1186.326765,13981
1187.612039,14083
1188.896733,14341
1190.180848,14211
1191.464383,14018
1192.747339,13865
1194.029717,14166
1195.311515,14087
1196.592736,14057
1197.873378,14399
1199.153442,14471
1200.432929,14393
1201.711838,14258
1202.990171,14542
1204.267926,14374
1205.545105,14228
1206.821707,14302
1208.097733,14205
1209.373183,14449
1210.648057,14219
1211.922356,14228
1213.196079,14411
1214.469228,14348
1215.741802,14130
1217.013801,14130
1218.285226,14272
1219.556077,13857
1220.826355,14280
