Waveshift,Intensity
1114.736558,13962
1116.054103,13693
1117.371054,13844
1118.687412,13882
1120.003177,13768
1121.318349,13989
1122.632929,13862
1123.946916,14082
1125.260312,13893
1126.573116,13827
1127.885328,13968
1129.196949,13428
1130.507979,13498
1131.818419,13206
1133.128268,13433
1134.437527,13220
1135.746195,12951
1137.054275,12678
1138.361764,12620
1139.668665,12556
1140.974976,12694
1142.280699,12461
1143.585833,12149
1144.890379,12328
1146.194337,12396
1147.497708,12391
1148.800491,12050
1150.102687,12100
1151.404295,11757
1152.705318,12029
1154.005753,11823
1155.305603,12228
1156.604866,11959
1157.903544,12138
1159.201636,11928
1160.499143,12167
1161.796065,11648
1163.092402,12047
1164.388155,11678
1165.683324,11914
1166.977908,11619
1168.271909,11496
1169.565326,11687
1170.85816,11470
1172.150411,11964
1173.44208,11623
1174.733165,11606
1176.023669,11797
1177.31359,11685
1178.60293,11463
1179.891688,11597
1181.179865,11452
1182.467461,11630
1183.754476,11496
1185.04091,11569
1186.326765,11404
1187.612039,11659
1188.896733,11647
1190.180848,11403
1191.464383,11658
1192.747339,11224
1194.029717,11655
1195.311515,11791
1196.592736,11663
1197.873378,11702
1199.153442,11670
1200.432929,11629
1201.711838,11767
1202.990171,11313
1204.267926,11648
1205.545105,11545
1206.821707,11554
1208.097733,11507
1209.373183,11598
1210.648057,11442
1211.922356,11556
1213.196079,11508
1214.469228,11453
1215.741802,11568
1217.013801,11637
1218.285226,11546
1219.556077,11118
1220.826355,11620
1222.096058,11387
1223.365189,11368
1224.633746,11274
1225.90173,11116
1227.169142,11512
1228.435982,11605
1229.702249,11356
1230.967945,11194
1232.233069,11224
1233.497621,11425
1234.761602,10826
1236.025013,11196
1237.287852,10894
1238.550121,11041
1239.81182,11340
1241.072949,10823
1242.333509,10932
1243.593498,11125
1244.852919,11172
1246.11177,10812
1247.370053,11265
1248.627767,10856
1249.884912,11010
1251.14149,10747
1252.397499,11095
1253.652942,11080
1254.907816,10981
1256.162124,11172
1257.415864,11007
1258.669038,10941
1259.921646,11106
1261.173687,11214
1262.425162,11085
1263.676071,11525
1264.926415,11228
1266.176194,11006
1267.425408,11431
1268.674056,11220
1269.92214,11004
1271.16966,11368
1272.416616,10886
1273.663008,11037
1274.908836,11067
1276.1541,11047
1277.398802,10993
1278.64294,10933
1279.886516,10726
1281.129529,11015
1282.37198,10737
1283.613869,10782
1284.855196,10768
1286.095962,11007
1287.336166,10557
1288.575809,10470
1289.814891,10539
1291.053413,10618
1292.291374,10653
1293.528775,10582
1294.765616,10581
1296.001897,10481
1297.237618,10497
1298.472781,10352
1299.707384,10415
1300.941428,10676
1302.174914,10686
1303.407842,10678
1304.640211,10359
1305.872022,10789
1307.103276,10566
1308.333972,10401
1309.564111,10459
1310.793693,10607
1312.022719,10422
1313.251187,10445
1314.4791,10712
1315.706456,10461
1316.933256,10423
1318.159501,10816
1319.38519,10816
1320.610324,10956
1321.834903,10694
1323.058928,10639
1324.282398,10716
1325.505313,10656
1326.727675,10697
1327.949482,10746
1329.170736,10559
1330.391437,10764
1331.611584,10718
1332.831179,10376
1334.050221,10759
1335.26871,10201
1336.486647,10517
1337.704032,10578
1338.920865,10646
1340.137147,10457
1341.352877,10392
1342.568056,10456
1343.782684,10493
1344.996761,10263
1346.210288,10154
1347.423265,10340
1348.635691,10423
1349.847568,10102
1351.058895,10125
1352.269673,10155
1353.479901,9781
1354.689581,9961
1355.898712,10018
1357.107294,10090
1358.315329,9901
1359.522815,10278
1360.729753,10232
1361.936144,10336
1363.141987,9832
1364.347283,10190
1365.552032,10268
1366.756235,10107
1367.959891,9909
1369.163,10051
1370.365564,9975
1371.567582,10448
1372.769054,10035
1373.96998,10120
1375.170362,10123
1376.370198,10285
1377.56949,9880
1378.768237,9975
1379.96644,9990
1381.164099,9847
1382.361214,9868
1383.557785,9774
1384.753813,9787
1385.949297,9675
1387.144239,9913
1388.338637,9724
1389.532493,9721
1390.725807,9511
1391.918579,9537
1393.110808,9550
1394.302496,9144
1395.493643,9442
1396.684248,9383
1397.874312,9654
1399.063835,9519
1400.252818,9522
1401.44126,8998
1402.629162,9265
1403.816524,9015
1405.003346,9191
1406.189629,9010
1407.375372,8742
1408.560576,9232
1409.745241,9155
1410.929368,9059
1412.112956,9156
1413.296006,9300
1414.478517,9194
1415.660491,9173
1416.841927,8961
1418.022826,8760
1419.203188,9092
1420.383012,9146
1421.5623,9102
1422.741051,9038
1423.919266,9081
1425.096945,9058
1426.274088,9066
1427.450695,9017
1428.626766,9021
1429.802302,9054
1430.977303,8960
1432.15177,8788
1433.325701,9126
1434.499098,9010
1435.671961,9210
1436.84429,8910
1438.016085,9203
1439.187347,9088
1440.358075,9110
1441.528269,9138
1442.697931,8880
1443.86706,9229
1445.035657,8814
1446.203721,8634
1447.371253,9015
1448.538253,8637
1449.704721,8720
1450.870658,8889
1452.036064,8617
1453.200938,8811
1454.365282,8956
1455.529094,9043
1456.692377,9004
1457.855129,8910
1459.017351,8839
1460.179043,8663
1461.340206,9221
1462.500839,8611
1463.660943,8914
1464.820517,8867
1465.979563,8391
1467.138081,-61
1468.29607,8913
1469.453531,8336
1470.610464,8615
1471.766869,8263
1472.922746,8497
1474.078096,8308
1475.232919,8443
1476.387215,8357
1477.540985,7963
1478.694227,7998
1479.846944,8168
1480.999134,8229
1482.150798,8354
1483.301937,8261
1484.45255,8243
1485.602637,8390
1486.7522,8336
1487.901238,8259
1489.049751,8180
1490.197739,8237
1491.345203,8203
1492.492144,8285
1493.63856,8137
1494.784452,8264
1495.929821,8130
1497.074667,8153
1498.21899,8196
1499.36279,8324
1500.506067,8567
1501.648821,8275
1502.791054,8406
1503.932764,8196
1505.073953,8558
1506.21462,8217
1507.354765,8479
1508.494389,8602
1509.633492,8325
1510.772074,8367
1511.910136,8398
1513.047677,8275
1514.184698,8557
1515.321198,8296
1516.457179,8579
1517.592641,8508
1518.727582,8651
1519.862005,8800
1520.995909,8590
1522.129293,8411
1523.262159,8769
1524.394507,8465
1525.526336,8349
1526.657647,8762
1527.788441,8643
1528.918717,8824
1530.048475,8896
1531.177716,8696
1532.30644,8940
1533.434647,8883
1534.562338,9011
1535.689512,9011
1536.816169,8741
1537.942311,9157
1539.067937,9073
1540.193047,9079
1541.317642,9159
1542.441721,9142
1543.565285,9358
1544.688335,9248
1545.81087,9005
1546.93289,9443
1548.054396,9204
1549.175388,9256
1550.295866,9229
1551.41583,9474
1552.535281,9573
1553.654218,9814
1554.772643,9905
1555.890554,9678
1557.007953,9919
1558.124839,9600
1559.241213,9438
1560.357075,9928
1561.472424,10125
1562.587262,9481
1563.701589,9841
1564.815404,9977
1565.928708,9889
1567.041501,10056
1568.153783,10108
1569.265555,10112
1570.376816,10248
1571.487567,10172
1572.597808,9805
1573.707539,10282
1574.816761,10221
1575.925473,10577
1577.033676,10588
1578.14137,10432
1579.248555,10772
1580.355231,10546
1581.461399,10590
1582.567059,10994
1583.672211,10567
1584.776854,10812
1585.88099,11192
1586.984619,11128
1588.08774,11266
1589.190354,11215
1590.292462,11403
1591.394062,11706
1592.495156,11614
1593.595744,11724
1594.695825,11783
1595.795401,11703
1596.89447,11832
1597.993034,12257
1599.091093,12328
1600.188647,12299
1601.285695,12431
1602.382239,12312
1603.478278,12602
1604.573812,12971
1605.668843,12869
1606.763369,12867
1607.857391,13218
1608.95091,13277
1610.043925,13467
1611.136437,13376
1612.228446,13437
1613.319952,14094
1614.410955,13926
1615.501455,13995
1616.591453,14144
1617.680949,14254
1618.769943,14222
1619.858435,14414
1620.946426,14391
1622.033915,14661
1623.120903,14860
1624.20739,14694
1625.293376,14741
1626.378861,14549
1627.463845,15048
1628.54833,14851
1629.632314,15102
1630.715799,15268
1631.798783,14916
1632.881268,15423
1633.963254,15191
1635.04474,14775
1636.125728,15203
1637.206216,15032
1638.286206,15063
1639.365698,15121
1640.444691,15041
1641.523187,15087
1642.601184,14766
1643.678683,15179
1644.755686,15086
1645.83219,14520
1646.908198,14859
1647.983708,14638
1649.058722,14571
1650.133239,14632
1651.20726,14697
1652.280785,14693
1653.353813,14290
1654.426346,14443
1655.498383,14392
1656.569924,14462
1657.64097,14084
1658.711521,14062
1659.781577,13947
1660.851139,13912
1661.920205,13771
1662.988777,13273
1664.056855,13370
1665.124439,13343
1666.191529,12836
1667.258126,13105
1668.324229,12754
1669.389838,12621
1670.454955,12479
1671.519578,12239
1672.583709,12606
1673.647347,11834
1674.710493,12036
1675.773147,11245
1676.835308,11311
1677.896978,11381
1678.958155,11208
1680.018842,10905
1681.079037,10728
1682.138741,10763
1683.197954,10370
1684.256676,10297
1685.314908,9858
1686.372649,10197
1687.4299,9613
1688.48666,9623
1689.542931,9062
1690.598713,9386
1691.654004,9216
1692.708807,9098
1693.76312,8861
1694.816944,8922
1695.870279,8948
1696.923126,8562
1697.975484,8200
1699.027354,8356
1700.078736,8620
1701.12963,8018
1702.180036,8134
1703.229955,7921
1704.279386,8090
1705.32833,7646
1706.376787,7558
1707.424757,7428
1708.47224,6988
1709.519237,7424
1710.565748,7123
1711.611772,6828
1712.65731,6888
1713.702363,6796
1714.74693,6842
1715.791011,6747
1716.834608,6722
1717.877719,6679
1718.920345,6667
1719.962486,6374
1721.004143,6257
1722.045316,6107
1723.086004,6175
1724.126208,5989
1725.165929,6007
1726.205165,5934
1727.243918,5735
1728.282188,5941
1729.319975,5608
1730.357278,5815
1731.394099,5509
1732.430437,5447
1733.466293,5518
1734.501666,5647
1735.536557,5249
1736.570967,5482
1737.604894,5171
1738.63834,5228
1739.671304,5279
1740.703787,5008
1741.735789,4759
1742.767311,5207
1743.798351,5013
1744.828911,4999
1745.85899,4492
1746.888589,4579
1747.917708,4967
1748.946348,4712
1749.974507,4629
1751.002187,4661
1752.029388,4335
1753.056109,4515
1754.082351,4115
1755.108115,4486
1756.1334,4456
1757.158206,4337
1758.182534,4337
1759.206384,4317
1760.229755,4439
1761.252649,4128
1762.275065,4280
1763.297004,4078
1764.318466,3882
1765.33945,4059
1766.359957,3812
1767.379988,3907
1768.399542,3980
1769.418619,3557
1770.43722,3451
1771.455345,3803
1772.472994,3929
1773.490167,3877
1774.506865,3670
1775.523087,3713
1776.538834,3549
1777.554106,3696
1778.568902,3818
1779.583224,3653
1780.597072,3304
1781.610444,3696
1782.623343,3633
1783.635768,3514
1784.647718,3568
1785.659195,3144
1786.670198,3373
1787.680728,3570
1788.690784,3345
1789.700368,3382
1790.709478,3102
1791.718116,3588
1792.726281,3383
1793.733973,2988
1794.741194,3187
1795.747942,3217
1796.754218,3362
1797.760023,3127
1798.765356,3131
1799.770217,3287
1800.774607,3466
1801.778526,3059
1802.781974,3117
1803.784952,3357
1804.787458,3131
1805.789495,2989
1806.791061,2953
1807.792156,3100
1808.792782,3172
1809.792938,3213
1810.792625,3022
1811.791842,3028
1812.79059,3115
1813.788868,2958
1814.786678,3122
1815.784019,3087
1816.780891,3010
1817.777295,3129
1818.77323,2867
1819.768697,3211
1820.763697,3017
1821.758228,3100
1822.752292,3304
1823.745888,2947
1824.739017,2845
1825.731679,2920
1826.723874,3051
1827.715602,2967
1828.706863,2643
1829.697658,2680
1830.687986,3250
1831.677848,3063
1832.667244,3027
1833.656175,2823
1834.644639,2977
1835.632638,2935
1836.620172,2917
1837.60724,2859
1838.593844,3013
1839.579982,2730
1840.565656,3103
1841.550865,2938
1842.53561,2831
1843.51989,2786
1844.503706,2728
1845.487059,2817
1846.469947,2602
1847.452372,2701
1848.434334,2683
1849.415832,2825
1850.396867,2866
1851.377439,2784
1852.357549,2792
1853.337195,2883
1854.31638,3222
1855.295101,2702
1856.273361,2697
1857.251159,2679
1858.228494,2881
1859.205369,2749
1860.181781,2933
1861.157732,2512
1862.133222,2943
1863.108251,2610
1864.082819,2818
1865.056926,2714
1866.030573,2589
