Frequency,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density
ramanShift,DM201,DM202,DM203,DM204,DM205,DM206,DM207,DM208,DM209,DM210,DM211,Ctrl01,Ctrl02,Ctrl03,Ctrl04,Ctrl05,Ctrl06,Ctrl07,Ctrl08,Ctrl09
60,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
61,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
62,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
63,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
64,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
65,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
66,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
67,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
68,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
69,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
70,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
71,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
